station_id,best_value,batch_size,d_model,lambda_input_mask_l1,lambda_mask_l1,learning_rate,num_layers,target_activation_sparsity,target_weight_sparsity
01013500,0.9593700178241171,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
01022500,0.8318978034011015,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
01030500,0.9809293269746102,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
01031500,0.6896172419039337,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
01047000,0.6323366142324676,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
01052500,0.6596420056325859,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
01054200,0.4253234730312666,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
01055000,0.5086636565059085,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
01057000,0.6394459631911928,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
01073000,0.472809561754839,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
01078000,0.6659597826316792,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
01134500,0.6786210365587471,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
01137500,0.5200594432627141,256,64,0.0003550304858128307,0.0008692991511139548,0.00025081156860452336,9,0.6554563366576581,0.8366775698358199
01139000,0.6974014427522153,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
01139800,0.7435964754808664,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
01142500,0.75652258277395,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
01144000,0.7152372299803231,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
01162500,0.8195234250904815,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
01169000,0.4062392369350728,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
01170100,0.5076018988115645,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
01181000,0.32614704410262363,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
01333000,0.6013604115594643,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
01439500,0.676000550000821,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
01440000,0.4827489494421948,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
01440400,0.45681530082435984,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
01451800,0.4496276016929256,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
01484100,0.4347488290834426,128,64,0.00010507384024181397,1.0325337616482036e-05,0.006533305220227739,7,0.858219174976903,0.9045036914806233
01485500,0.8604765647532743,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
01486000,0.3788908334960229,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
01487000,0.7610375661534385,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
01491000,0.7718116635239598,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
01510000,0.5560143747411526,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
01516500,0.32739392331769235,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
01532000,0.4468494666120004,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
01539000,0.3723552027751861,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
01542810,0.49541313654812014,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
01543000,0.5939567305532121,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
01543500,0.5967812889834271,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
01544500,0.608310070332685,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
01545600,0.6238600449371736,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
01547700,0.3545982943236732,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
01548500,0.5939543963216014,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
01549500,0.470301120125997,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
01550000,0.4871650123803274,256,64,0.0003550304858128307,0.0008692991511139548,0.00025081156860452336,9,0.6554563366576581,0.8366775698358199
01552000,0.40928431166415313,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
01552500,0.39210790301829657,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
01557500,0.5488927354440227,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
01567500,0.27128984857361926,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
01568000,0.3133219429669567,256,64,0.0003550304858128307,0.0008692991511139548,0.00025081156860452336,9,0.6554563366576581,0.8366775698358199
01580000,0.22166819403915627,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
01583500,0.1709315277920902,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
01591400,0.15194767976564139,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
01596500,0.6336953098213911,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
01613050,0.4064874158040652,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
01620500,0.5579842523630858,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
01634500,0.458255166999304,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
01638480,0.19362083678355113,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
01639500,0.238773013402236,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
01644000,0.3136317119253368,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
01658500,0.0756118973072123,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
01664000,0.4446182783275129,256,64,0.0003550304858128307,0.0008692991511139548,0.00025081156860452336,9,0.6554563366576581,0.8366775698358199
01666500,0.32100510076093425,256,64,0.0003550304858128307,0.0008692991511139548,0.00025081156860452336,9,0.6554563366576581,0.8366775698358199
01667500,0.393426977298721,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
01669000,0.6707372265782319,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
02011400,0.46811451282435745,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
02011460,0.3813699641263687,256,64,0.0003550304858128307,0.0008692991511139548,0.00025081156860452336,9,0.6554563366576581,0.8366775698358199
02013000,0.3572742636157965,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
02014000,0.42388541950539893,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
02015700,0.41062420087245355,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
02016000,0.45092305690571277,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
02017500,0.4471507451571113,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
02018000,0.5782121314480515,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
02027000,0.40781093864102413,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
02027500,0.4451778556807421,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
02028500,0.4847668922850361,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
02038850,0.11692083780548834,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
02046000,0.4347291092062705,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
02051500,0.6234756132469651,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
02053200,0.921671828102945,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
02053800,0.2936380759107775,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
02055100,0.16930430680194497,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
02056900,0.26977655902219,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
02059500,0.2262904611373988,256,64,0.0003550304858128307,0.0008692991511139548,0.00025081156860452336,9,0.6554563366576581,0.8366775698358199
02064000,0.15062472621090495,256,64,0.0003550304858128307,0.0008692991511139548,0.00025081156860452336,9,0.6554563366576581,0.8366775698358199
02065500,0.3903623010968642,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
02069700,0.19021319876523968,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
02070000,0.12616164147537268,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
02074500,0.1300124492724909,256,64,0.0003550304858128307,0.0008692991511139548,0.00025081156860452336,9,0.6554563366576581,0.8366775698358199
02077200,0.20824702963817943,256,64,0.0003550304858128307,0.0008692991511139548,0.00025081156860452336,9,0.6554563366576581,0.8366775698358199
02081500,0.3002085447651196,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
02082950,0.6808645786414308,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
02092500,0.7252709578099148,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
02102908,0.17221134952098172,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
02108000,0.8717866532220844,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
02111180,0.2987499259471367,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
02112120,0.2988927587971122,256,64,0.0003550304858128307,0.0008692991511139548,0.00025081156860452336,9,0.6554563366576581,0.8366775698358199
02112360,0.2322787371300319,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
02118500,0.17439141490753174,256,64,0.0003550304858128307,0.0008692991511139548,0.00025081156860452336,9,0.6554563366576581,0.8366775698358199
02128000,0.1558107912101715,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
02143000,0.23602701713466379,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
02143040,0.219813297935037,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
02149000,0.2688265096264538,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
02152100,0.13051210200912533,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
02177000,0.4233850124282055,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
02202600,0.7082764487153757,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
02212600,0.31138630412834223,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
02221525,0.6906402659491799,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
02231000,0.8144115986428266,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
02231342,0.6908197905792468,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
02245500,0.6315412273252419,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
02246000,0.6150118998862997,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
02296500,0.9475799246086535,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
02297155,0.7103705557776457,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
02297310,0.9209418542856839,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
02298123,0.9758714381015227,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
02298608,0.9057038832334668,32,112,0.00037183641805732076,8.168455894760161e-05,0.0005611516415334506,3,0.7099085529881075,0.7730361621338044
02299950,0.6852556494245721,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
02300700,0.5886465184225439,64,96,0.0001040258761588385,4.253162363790868e-05,0.0005211124595788264,2,0.7909231233791341,0.7078572964216835
